id; Имя; Путь к фильму; Путь к постеру; 
5; Горшок каши; https://diafilmy.su/5-gorshok-kashi.html; https://diafilmy.su/uploads/posts/2020-07/1594731125_01.jpg; 
6; Как рисует свет; https://diafilmy.su/6-kak-risuet-svet.html; https://diafilmy.su/uploads/posts/2011-02/1296999102_skanirovanie0004.jpg; 
8; Крылатый, мохнатый да масленый; https://diafilmy.su/8-krylatyy-mohnatyy.html; https://diafilmy.su/uploads/posts/2013-12/1386340816_crl055.jpg; 
2336; Девочка с веретёнце; https://diafilmy.su/2336-devochka-s-veretence.html; https://diafilmy.su/uploads/posts/2013-12/1386342046_3.jpg; 
9; Ну, погоди! 5-й выпуск; https://diafilmy.su/9-nu-pogodi.html; https://diafilmy.su/uploads/posts/2012-10/1349894562_5.jpg; 
11; Про клад и болтунью; https://diafilmy.su/11-pro-klad-i-boltunyu.html; https://diafilmy.su/uploads/posts/2011-02/1297075878_skanirovanie0004.jpg; 
22; Солнце, Месяц и Ворон Воронович; https://diafilmy.su/22-voron-voronovich.html; https://diafilmy.su/uploads/posts/2013-06/1371037849_4.jpg; 
23; Таю принесёт солнце; https://diafilmy.su/23-tayu-prineset-solnce.html; https://diafilmy.su/uploads/posts/2011-02/1297189604_5.jpg; 
21; Сказки старого сада; https://diafilmy.su/21-skazki-starogo-sada.html; https://diafilmy.su/uploads/posts/2016-05/1462340481_0031ya.jpg; 
20; Ферромагнетизм; https://diafilmy.su/20-ferromagnetizm.html; https://diafilmy.su/uploads/posts/2011-02/1297148893_003.jpg; 
24; Фотоэкран №1 1968г.; https://diafilmy.su/24-fotoekran-1-1968g.html; https://diafilmy.su/uploads/posts/2011-02/1297190561_3.jpg; 
25; Рукавичка; https://diafilmy.su/25-rukavichka.html; https://diafilmy.su/uploads/posts/2011-02/1297190881_2.jpg; 
26; Вот такие мастера; https://diafilmy.su/26-vot-takie-mastera.html; https://diafilmy.su/uploads/posts/2011-02/1297191042_003.jpg; 
27; Семь Агафонов бестолковых; https://diafilmy.su/27-sem-agafonov.html; https://diafilmy.su/uploads/posts/2013-07/1373572935_4.jpg; 
28; Три толстяка. Часть 2; https://diafilmy.su/28-tri-tolstyaka-chast-2.html; https://diafilmy.su/uploads/posts/2013-11/1383988798_06.jpg; 
29; Элли спасает Страшилу; https://diafilmy.su/29-elli-spasaet-strashilu.html; https://diafilmy.su/uploads/posts/2014-03/1396240580_0006.jpg; 
2625; Собрание деревянной скульптуры в Пермской государственной художественной галерее; https://diafilmy.su/2625-sobranie-derevyannoy-skulptury.html; https://diafilmy.su/uploads/posts/2014-03/1396289805_04.jpg; 
30; Кот из булочной; https://diafilmy.su/30-kot-iz-bulochnoy.html; https://diafilmy.su/uploads/posts/2011-02/1297196423_3.jpg; 
31; Царь Несмеян. Часть 1; https://diafilmy.su/31-car-nesmeyan-1-chast.html; https://diafilmy.su/uploads/posts/2011-02/1297236586_3.jpg; 
32; Царь Несмеян. Часть 2; https://diafilmy.su/32-car-nesmeyan-2-chast.html; https://diafilmy.su/uploads/posts/2011-02/1297236797_3.jpg; 
33; Храбрый Важа; https://diafilmy.su/33-hrabryy-vazha.html; https://diafilmy.su/uploads/posts/2011-02/1297257263_3.jpg; 
34; Сказка о глупом мышонке; https://diafilmy.su/34-skazka-o-glupom-myshonke.html; https://diafilmy.su/uploads/posts/2016-01/1453459171_1.jpg; 
927; Новгородец Гришата; https://diafilmy.su/927-novgorodec-grishata.html; https://diafilmy.su/uploads/posts/2012-03/1332940392_5.jpg; 
36; Робин Гуд; https://diafilmy.su/36-robin-gud.html; https://diafilmy.su/uploads/posts/2019-12/1575360102_02.jpg; 
6613; Другие языки; Металлургический комплекс УССР; https://diafilmy.su/6613-metallurgicheskij-kompleks-ussr.html; 
37; О коммунистической морали; https://diafilmy.su/37-o-kommunisticheskoy-morali.html; https://diafilmy.su/uploads/posts/2011-02/1297346254_4.jpg; 
38; Золушка; https://diafilmy.su/38-zolushka.html; https://diafilmy.su/uploads/posts/2019-03/1553063914_03.jpg; 
39; Другие языки; Золушка; https://diafilmy.su/39-zolushka-na-angliyskom.html; 
40; О плачущих и смеющихся яблоках; https://diafilmy.su/40-o-plachuschih-yablokah.html; https://diafilmy.su/uploads/posts/2011-02/1297501295_3.jpg; 
41; История электронной техники; https://diafilmy.su/41-istoriya-elektronnoy-tehniki.html; https://diafilmy.su/uploads/posts/2011-02/1297507937_3.jpg; 
42; Айболит; https://diafilmy.su/42-aybolit.html; https://diafilmy.su/uploads/posts/2013-03/1364187179_2.jpg; 
1794; Эффективность общественного производства; https://diafilmy.su/1794-socializm-i-trud.html; https://diafilmy.su/uploads/posts/2013-03/1364501439_05.jpg; 
43; Три толстяка. Часть 1; https://diafilmy.su/43-tri-tolstyaka-1chast.html; https://diafilmy.su/uploads/posts/2013-11/1383989054_06.jpg; 
44; Старуха Шапокляк; https://diafilmy.su/44-staruha-shapoklyak.html; https://diafilmy.su/uploads/posts/2013-07/1373198833_4.jpg; 
45; Как мужик попа проучил; https://diafilmy.su/45-kak-muzhik-popa-prouchil.html; https://diafilmy.su/uploads/posts/2011-02/1297590989_3.jpg; 
46; Приключение в дороге; https://diafilmy.su/46-priklyuchenie-v-doroge.html; https://diafilmy.su/uploads/posts/2020-01/1577908394_05.jpg; 
6886; Пеппи в стране Веселии; https://diafilmy.su/6886-peppi-v-strane-veselii.html; https://diafilmy.su/uploads/posts/2020-01/1577911429_peppi-v-strane-veselii-1973_chb-04.jpg; 
47; Как Рикики мыл лапы; https://diafilmy.su/47-kak-rikiki-myl-lapy.html; https://diafilmy.su/uploads/posts/2011-02/1297594629_skanirovanie0003.jpg; 
6608; Таганрог. Город у Азовского моря; https://diafilmy.su/6608-taganrog-gorod-u-azovskogo-morja.html; https://diafilmy.su/uploads/posts/2019-09/1569356583_04.jpg; 
6605; Суточный наряд и его обязанности; https://diafilmy.su/6605-sutochnyj-narjad-i-ego-objazannosti.html; https://diafilmy.su/uploads/posts/2019-09/1569350407_pict-ch-04.jpg; 
48; Дом гнома, гном дома!; https://diafilmy.su/48-dom-gnoma-gnom-doma.html; https://diafilmy.su/uploads/posts/2017-12/1512969081_01.jpg; 
49; Винни-Пух; https://diafilmy.su/49-vinni-puh.html; https://diafilmy.su/uploads/posts/2016-05/1462427155_03.jpg; 
4067; Кинематика. Часть 2; https://diafilmy.su/4067-kinematika-chast-2.html; https://diafilmy.su/uploads/posts/2016-05/1462438704_00d-kopiya.jpg; 
50; Чиполлино. Часть 1; https://diafilmy.su/50-chipollino-chast-1.html; https://diafilmy.su/uploads/posts/2014-03/1396207669_0006.jpg; 
51; Фотоэкран №4 1976г.; https://diafilmy.su/51-fotoekran-4-1976g.html; https://diafilmy.su/uploads/posts/2011-02/1297668873_4.jpg; 
52; Красная Шапочка; https://diafilmy.su/52-krasnaya-shapochka.html; https://diafilmy.su/uploads/posts/2011-02/1297669073_3.jpg; 
53; Семь воронов; https://diafilmy.su/53-sem-voronov.html; https://diafilmy.su/uploads/posts/2011-02/1297783100_5.jpg; 
54; Муха; https://diafilmy.su/54-muha.html; https://diafilmy.su/uploads/posts/2016-02/1456378886_1.jpg; 
3920; Математическая викторина; https://diafilmy.su/3920-matematicheskaya-viktorina.html; https://diafilmy.su/uploads/posts/2016-02/1456512416_01-kopiya.jpg; 
55; Ну, погоди! 4-й выпуск; https://diafilmy.su/55-nu-pogodi-4y-vypusk.html; https://diafilmy.su/uploads/posts/2012-10/1349894486_4.jpg; 
56; Белый Клык; https://diafilmy.su/56-belyy-klyk.html; https://diafilmy.su/uploads/posts/2016-02/1454909185_1.jpg; 
61; Царевна-лягушка; https://diafilmy.su/61-carevna-lyagushka.html; https://diafilmy.su/uploads/posts/2016-02/1456646868_4.jpg; 
3926; Храбрый Азмун; https://diafilmy.su/3926-hrabryy-azmun.html; https://diafilmy.su/uploads/posts/2016-02/1456655910_01-kopiya.jpg; 
57; Снегурочка; https://diafilmy.su/57-snegurochka.html; https://diafilmy.su/uploads/posts/2011-02/1297844440_5.jpg; 
58; Курочка Ряба; https://diafilmy.su/58-kurochka-ryaba.html; https://diafilmy.su/uploads/posts/2017-03/1490593356_1.jpg; 
59; Сюлемен и злой карлик; https://diafilmy.su/59-syulemen-i-zloy-karlik.html; https://diafilmy.su/uploads/posts/2016-02/1455599442_1.jpg; 
60; О том, как буря перевесила вывески; https://diafilmy.su/60-o-tom-kak-burya-perevesila-vyveski.html; https://diafilmy.su/uploads/posts/2019-09/1568789509_04.jpg; 
767; Ленин в Москве; https://diafilmy.su/767-lenin-v-moskve.html; https://diafilmy.su/uploads/posts/2011-12/1325360725_3.jpg; 
64; Сестрица Алёнушка и братец Иванушка; https://diafilmy.su/64-sestrica-alenushka-i-bratec-ivanushka.html; https://diafilmy.su/uploads/posts/2016-03/1459165203_1.jpg; 
66; Федорино горе; https://diafilmy.su/66-fedorino-gore.html; https://diafilmy.su/uploads/posts/2020-09/1600529766_05.jpg; 
67; Едут звери в зоопарк; https://diafilmy.su/67-edut-zveri-v-zoopark.html; https://diafilmy.su/uploads/posts/2011-02/1297973103_3.jpg; 
68; Аленький цветочек; https://diafilmy.su/68-alenkiy-cvetochek.html; https://diafilmy.su/uploads/posts/2012-11/1352558580_1.jpg; 
69; Анс и дракон; https://diafilmy.su/69-ans-i-drakon.html; https://diafilmy.su/uploads/posts/2015-02/1423250820_scan-150205-0005-kopiya.jpg; 
70; Неринга; https://diafilmy.su/70-neringa.html; https://diafilmy.su/uploads/posts/2016-12/1482779052_0d.jpg; 
71; Фотоэкран №8 1975г.; https://diafilmy.su/71-fotoekran-8-1975g.html; https://diafilmy.su/uploads/posts/2011-02/1298057298_4.jpg; 
72; Принцесса на горошине; https://diafilmy.su/72-princessa-na-goroshine.html; https://diafilmy.su/uploads/posts/2014-08/1407731918_01.jpg; 
73; Путешествие за книгой; https://diafilmy.su/73-puteshestvie-za-knigoy.html; https://diafilmy.su/uploads/posts/2011-02/1298057888_3.jpg; 
74; Звездоглазка; https://diafilmy.su/74-zvezdoglazka.html; https://diafilmy.su/uploads/posts/2016-01/1452536618_1.jpg; 
3795; Озвученные диафильмы; Про золотое солнце и серебряный месяц; https://diafilmy.su/3795-pro-zolotoe-solnce-i-serebryanyy-mesyac.html; 
3794; Ярка Дворжак; https://diafilmy.su/3794-yarka-dvorzhak.html; https://diafilmy.su/uploads/posts/2016-01/1452549812_03.jpg; 
